14,6,0,8,3,18,5,11,10,19,9,16,17,4,2,21,12,20,1,13
Gria1,Slc1a2,Plp1,Gpr17,Cplx2,Sox9,Cldn5,Tmem119,Gfap,Apoe,Mbp,Snhg11,Pdgfrb,Snhg11,Tcf7l2,Clic6,Gnai1,Atp1a3,Snhg11,Dlgap1
Grin2a,Htra1,Mag,Sox10,Camk2a,Slc38a1,Sema7a,Cx3cr1,Sparcl1,Igfbp2,Plp1,Gad1,Sparcl1,Stxbp1,Shank3,Igfbp2,Cacna1a,Gad1,Gria2,Dsp
Camk2b,Atp1a2,Cldn11,Olig2,Atp1a3,Vim,Igf1r,Csf1r,Aqp4,Atp1a2,Cldn11,Cplx1,Rgs4,Cacna1b,Cplx1,Foxj1,Snhg11,Dnm1,Sqstm1,Glg1
Nsf,Glul,Gsn,Olig1,Calm1,Foxj1,Apcdd1,C1qb,Ntsr2,Sparcl1,Lpar1,Slc32a1,Cspg4,Grik1,Gabbr2,Cldn2,Slitrk5,Ubc,Cadm1,Sema7a
Dnm1,Apoe,Mbp,Vcan,Eef1a2,Idh2,Cdh5,Laptm5,Atp1a2,Gfap,Mag,Atp1a3,Apcdd1,Atp1a3,Rgs16,Idh2,Stxbp1,Sparcl1,Neurod2,Unc13a
Grin1,Sparcl1,Nfasc,Cspg4,Shank1,Clu,Ptprm,Vsir,Atp1b2,Apcdd1,Gsn,Slc6a1,Flna,Epb41l3,Lef1,Atp1a1,Ap2a1,Dpysl2,Cx3cl1,Grin1
Epha7,Atp1b2,Mog,Nlgn2,Epb41l1,Ccdc153,Lef1,C1qa,Apoe,Glul,Gfap,Stxbp1,Syne2,Epb41l1,Snhg11,Sox9,Unc13a,Gad2,Nr4a1,Calm1
Epha4,Ntsr2,Bin1,Itpr2,Cplx1,Zbtb20,Pecam1,P2ry12,Htra1,Bmp7,Cstb,Erbb4,Cldn5,Eef1a2,Gnb1,Bmp7,Cdkl5,Eef1a2,Cadm3,Stxbp1
Syp,Clu,Cntn2,Mpzl1,Slc1a2,Id4,Ptprb,Hpgds,Slc6a11,Vim,Itgav,Grik1,Vim,Syn1,Syp,Axin2,Sdc3,Dnm3,Ndrg4,Adcy3
Gria2,Slc6a11,Sox10,Mbp,Dnm1,Sox2,Ccdc141,Sall1,Mbp,Gnai2,Gng8,Syt1,Cobll1,Tubb3,Ptprm,Tead1,Syp,Nsf,Stx1a,Kcnj6
